DisplayName,SKUPartNumber,GUID
Advanced Communications,ADV_COMMS,e4654015-5daf-4a48-9b37-4f309dddd88b
AI Builder Capacity add-on,CDSAICAPACITY,d2dea78b-507c-4e56-b400-39447f4738f8
APP CONNECT IW,SPZA_IW,8f0c5670-4e56-4892-b06d-91c085d7004f
Microsoft 365 Audio Conferencing,MCOMEETADV,0c266dff-15dd-4b49-8397-2bb16070ed52
Azure Active Directory Basic,AAD_BASIC,2b9c8e7c-319c-43a2-a2a0-48c5c6161de7
Azure Active Directory Premium P1,AAD_PREMIUM,078d2b04-f1bd-4111-bbd4-b4b1b354cef4
Azure Active Directory Premium P2,AAD_PREMIUM_P2,84a661c4-e949-4bd2-a560-ed7766fcaf2b
Azure Information Protection Plan 1,RIGHTSMANAGEMENT,c52ea49f-fe5d-4e95-93ba-1de91d380f89
Business Apps (free),SMB_APPS,90d8b3f8-712e-4f7b-aa1e-62e7ae6cbe96
Common Area Phone,MCOCAP,295a8eb0-f78d-45c7-8b5b-1eed5ed02dff
Common Area Phone for GCC,MCOCAP_GOV,b1511558-69bd-4e1b-8270-59ca96dba0f3
Common Data Service Database Capacity,CDS_DB_CAPACITY,e612d426-6bc3-4181-9658-91aa906b0ac0
Common Data Service Database Capacity for Government,CDS_DB_CAPACITY_GOV,eddf428b-da0e-4115-accf-b29eb0b83965
Common Data Service Log Capacity,CDS_LOG_CAPACITY,448b063f-9cc6-42fc-a0e6-40e08724a395
Communications Credits,MCOPSTNC,47794cd0-f0e5-45c5-9033-2eb6b5fc84e0
Compliance Manager Premium Assessment Add-On for GCC,CMPA_addon_GCC,a9d7ef53-9bea-4a2a-9650-fa7df58fe094
Dynamics 365 - Additional Database Storage (Qualified Offer),CRMSTORAGE,328dc228-00bc-48c6-8b09-1fbc8bc3435d
Dynamics 365 - Additional Production Instance (Qualified Offer),CRMINSTANCE,9d776713-14cb-4697-a21d-9a52455c738a
Dynamics 365 - Additional Non-Production Instance (Qualified Offer),CRMTESTINSTANCE,e06abcc2-7ec5-4a79-b08b-d9c282376f72
Dynamics 365 AI for Market Insights (Preview),SOCIAL_ENGAGEMENT_APP_USER,c6df1e30-1c9f-427f-907c-3d913474a1c7
Dynamics 365 Asset Management Addl Assets,DYN365_ASSETMANAGEMENT,673afb9d-d85b-40c2-914e-7bf46cd5cd75
Dynamics 365 Business Central Additional Environment Addon,DYN365_BUSCENTRAL_ADD_ENV_ADDON,a58f5506-b382-44d4-bfab-225b2fbf8390
Dynamics 365 Business Central Database Capacity,DYN365_BUSCENTRAL_DB_CAPACITY,7d0d4f9a-2686-4cb8-814c-eff3fdab6d74
Dynamics 365 Business Central Essentials,DYN365_BUSCENTRAL_ESSENTIAL,2880026b-2b0c-4251-8656-5d41ff11e3aa
Dynamics 365 Business Central External Accountant,DYN365_FINANCIALS_ACCOUNTANT_SKU,9a1e33ed-9697-43f3-b84c-1b0959dbb1d4
Dynamics 365 Business Central for IWs,PROJECT_MADEIRA_PREVIEW_IW_SKU,6a4a1628-9b9a-424d-bed5-4118f0ede3fd
Dynamics 365 Business Central Premium,DYN365_BUSCENTRAL_PREMIUM,f991cecc-3f91-4cd0-a9a8-bf1c8167e029
Dynamics 365 Customer Engagement Plan,DYN365_ENTERPRISE_PLAN1,ea126fc5-a19e-42e2-a731-da9d437bffcf
Dynamics 365 Customer Insights vTrial,DYN365_CUSTOMER_INSIGHTS_VIRAL,036c2481-aa8a-47cd-ab43-324f0c157c2d
Dynamics 365 Customer Service Enterprise Viral Trial,Dynamics_365_Customer_Service_Enterprise_viral_trial,1e615a51-59db-4807-9957-aa83c3657351
Dynamics 365 Customer Service Insights Trial,DYN365_AI_SERVICE_INSIGHTS,61e6bd70-fbdb-4deb-82ea-912842f39431
Dynamics 365 Customer Voice Trial,FORMS_PRO,bc946dac-7877-4271-b2f7-99d2db13cd2c
Dynamics 365 Customer Service Professional,DYN365_CUSTOMER_SERVICE_PRO,1439b6e2-5d59-4873-8c59-d60e2a196e92
Dynamics 365 Customer Voice,DYN365_CUSTOMER_VOICE_BASE,359ea3e6-8130-4a57-9f8f-ad897a0342f1
Dynamics 365 Customer Voice Additional Responses,Forms_Pro_AddOn,446a86f8-a0cb-4095-83b3-d100eb050e3d
Dynamics 365 Customer Voice Additional Responses,DYN365_CUSTOMER_VOICE_ADDON,65f71586-ade3-4ce1-afc0-1b452eaf3782
Dynamics 365 Customer Voice USL,Forms_Pro_USL,e2ae107b-a571-426f-9367-6d4c8f1390ba
Dynamics 365 Enterprise Edition - Additional Portal (Qualified Offer),CRM_ONLINE_PORTAL,a4bfb28e-becc-41b0-a454-ac680dc258d3
Dynamics 365 Field Service Viral Trial,Dynamics_365_Field_Service_Enterprise_viral_trial,29fcd665-d8d1-4f34-8eed-3811e3fca7b3
Dynamics 365 Finance,DYN365_FINANCE,55c9eb4e-c746-45b4-b255-9ab6b19d5c62
Dynamics 365 for Case Management Enterprise Edition,DYN365_ENTERPRISE_CASE_MANAGEMENT,d39fb075-21ae-42d0-af80-22a2599749e0
Dynamics 365 for Customer Service Enterprise Edition,DYN365_ENTERPRISE_CUSTOMER_SERVICE,749742bf-0d37-4158-a120-33567104deeb
Dynamics 365 for Field Service Attach to Qualifying Dynamics 365 Base Offer,D365_FIELD_SERVICE_ATTACH,a36cdaa2-a806-4b6e-9ae0-28dbd993c20e
Dynamics 365 for Field Service Enterprise Edition,DYN365_ENTERPRISE_FIELD_SERVICE,c7d15985-e746-4f01-b113-20b575898250
Dynamics 365 for Financials Business Edition,DYN365_FINANCIALS_BUSINESS_SKU,cc13a803-544e-4464-b4e4-6d6169a138fa
Dynamics 365 for Marketing USL,D365_MARKETING_USER,4b32a493-9a67-4649-8eb9-9fc5a5f75c12
Dynamics 365 for Sales And Customer Service Enterprise Edition,DYN365_ENTERPRISE_SALES_CUSTOMERSERVICE,8edc2cf8-6438-4fa9-b6e3-aa1660c640cc
Dynamics 365 for Sales Enterprise Edition,DYN365_ENTERPRISE_SALES,1e1a282c-9c54-43a2-9310-98ef728faace
Dynamics 365 for Marketing Business Edition,DYN365_BUSINESS_MARKETING,238e2f8d-e429-4035-94db-6926be4ffe7b
Dynamics 365 Regulatory Service - Enterprise Edition Trial,DYN365_REGULATORY_SERVICE,7ed4877c-0863-4f69-9187-245487128d4f
Dynamics 365 Sales Premium Viral Trial,Dynamics_365_Sales_Premium_Viral_Trial,6ec92958-3cc1-49db-95bd-bc6b3798df71
Dynamics 365 for Sales Professional,D365_SALES_PRO,be9f9771-1c64-4618-9907-244325141096
Dynamics 365 for Sales Professional Trial,D365_SALES_PRO_IW,9c7bff7a-3715-4da7-88d3-07f57f8d0fb6
Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer,D365_SALES_PRO_ATTACH,245e6bf9-411e-481e-8611-5c08595e2988
Dynamics 365 for Supply Chain Management,DYN365_SCM,f2e48cb3-9da0-42cd-8464-4a54ce198ad0
Dynamics 365 for Talent,SKU_Dynamics_365_for_HCM_Trial,3a256e9a-15b6-4092-b0dc-82993f4debc6
Dynamics 365 Talent: Attract,Dynamics_365_Hiring_SKU,e561871f-74fa-4f02-abee-5b0ef54dd36d
Dynamics 365 for Team Members Enterprise Edition,DYN365_ENTERPRISE_TEAM_MEMBERS,8e7a3d30-d97d-43ab-837c-d7701cef83dc
Dynamics 365 Guides,GUIDES_USER,0a389a77-9850-4dc4-b600-bc66fdfefc60
Dynamics 365 Operations - Device,Dynamics_365_for_Operations_Devices,3bbd44ed-8a70-4c07-9088-6232ddbd5ddd
Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing,Dynamics_365_for_Operations_Sandbox_Tier2_SKU,e485d696-4c87-4aac-bf4a-91b2fb6f0fa7
Dynamics 365 Operations - Sandbox Tier 4:Standard Performance Testing,Dynamics_365_for_Operations_Sandbox_Tier4_SKU,f7ad4bca-7221-452c-bdb6-3e6089f25e06
Dynamics 365 P1 Trial for Information Workers,DYN365_ENTERPRISE_P1_IW,338148b6-1b11-4102-afb9-f92b6cdc0f8d
Dynamics 365 Remote Assist,MICROSOFT_REMOTE_ASSIST,7a551360-26c4-4f61-84e6-ef715673e083
Dynamics 365 Remote Assist HoloLens,MICROSOFT_REMOTE_ASSIST_HOLOLENS,e48328a2-8e98-4484-a70f-a99f8ac9ec89
Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer,D365_SALES_ENT_ATTACH,5b22585d-1b71-4c6b-b6ec-160b1a9c2323
